lii,bii,t90
279.94,14.82,   7.488
313.97,19.16,  16.704
307.53,20.26,   6.528
246.84,-43.55, 109.248
291.46,19.21,   0.051
269.89,-71.18,   2.070
249.19,-56.12,
247.12,-49.89,  39.296
349.96,-9.06,
357.45,-54.77,  43.584
357.9,-29.74,  16.128
325.91,15.34,
253.81,-12.8, 259.488
321.06,17.76,   8.576
346.38,-67.95,   0.186
356.27,-22.44,   1.408
251.27,-61.49,
353.87,-15.69,  23.680
266.04,5.68,   0.146
245.62,-45.26,  76.416
267.84,-71.64,  12.160
275.07,13.23,
349.05,-66.9,   0.076
252.93,-13.16,  49.984
355.72,-60.76,   0.576
359.49,-52.98,
245.43,-47.33,   0.276
272.94,12.25,
257.79,-68.19, 140.064
295.88,21.44,   8.832
354.55,-15.61,  89.344
359.13,-28.72,  10.112
286.71,19.57,  39.936
327.52,15.99,  72.128
303.96,-76.41,   4.288
0.46,-34.58,  26.048
357.11,-61.07,
359.06,-26.88,  84.224
1.72,-43.88,  49.152
311.72,21.79,   0.448
353.36,-11.64,  76.416
351.63,-8.28,  87.616
333.93,12.45,
0.9,-34.04,   1.168
337.86,-73.37,   0.036
326.38,-75.51,   2.496
354.98,-14.74,
260.8,-71.44,  58.656
245.4,-29.75,  37.376
263.48,5.44,  51.968
289.81,21.49,
276.38,16.12,
244.67,-56.73,  17.344
2.3,-37.85,  80.128
244.07,-55.41,   0.128
355.92,-14.95,   1.408
0.16,-26.55,   1.247
243.9,-33.92,   0.560
0.27,-60.58,   0.064
358.61,-63.27,
356.98,-16.92,  86.240
317.4,21.72,
260.02,-72.43,  37.824
328.86,17.12,  22.912
0.28,-25.24,  55.232
282.92,20.09,   0.384
251.51,-10.38,  49.600
242.15,-50.91,   0.832
3.04,-36.45,  16.192
241.86,-44.27,
329.67,17.03,  16.448
276.37,17.16,
359.3,-21.39,  37.632
350.6,-71.18,   1.216
0.29,-62.81,  39.808
245.09,-25.51,
251.92,-69.5,  13.632
359.86,-22.37,   0.256
287.82,22.24,   0.384
275.21,16.95,  29.184
338.31,11.46,  17.472
323.12,20.68, 160.768
1.92,-28.06,   0.208
4.7,-42.61,
358.89,-18.66,
250.68,-10.3,   6.656
255.63,-1.81,   1.408
250.71,-10.08,  23.616
245.77,-65.2,
251.92,-7.46,  31.232
359.47,-67.54,  83.104
319.06,23.12,  23.680
239.56,-50.07,
354.33,-6.49,  52.672
274.44,18.04,
239.34,-45.07,  26.240
261.34,-76.16,  28.800
239.56,-57.16,  69.504
257.41,2.98, 130.240
241.93,-64.45,  11.200
6.63,-57.11,  60.480
301.66,26.26,   1.024
244.46,-20.61,  71.328
268.27,-78.22, 106.112
257.11,2.96,
322.57,22.96,  28.416
316.8,24.81, 100.448
252.15,-74.14, 152.000
250.95,-5.85,  10.176
259.27,6.35,  63.616
8.03,-53.73, 115.008
285.21,23.97, 152.800
357.68,-72.57,
263.73,11.15,  10.944
275.97,20.12,   0.256
5.49,-31.36,
331.25,19.53,   4.512
240.03,-32.04,   1.472
287.6,25.04,
8.68,-51.16,  28.544
244.74,-71.2,   0.173
239.52,-32.64,
7.4,-62.76,   0.768
244.9,-16.38,  55.136
277.14,21.6,  59.072
246.82,-73.67,
299.97,27.57,   3.904
275.61,-80.82,  29.184
357.21,-7.74,  64.576
7.99,-63.35,
252.85,-0.31,
235.89,-50.99,   0.096
238.65,-66.31,  51.680
340.42,14.49,  13.056
10.07,-59.23,  70.720
241.67,-22.15,   5.184
295.89,27.86,  24.832
324.34,24.36,   1.173
305.71,28.3, 131.008
308.54,28.26,
236.25,-39.31,   4.096
11.41,-54.4,  25.088
349.37,6.19,   6.080
314.88,27.59,   0.399
5.55,-24.14,
258.65,8.95,   0.522
264.32,-81.06, 108.512
9.98,-39.41,  93.248
245.82,-10.08,  45.696
235.79,-66.99, 224.192
303.83,29.24,
276.7,23.28,   0.591
241.67,-19,
10.63,-66.95,
301.83,29.46,  18.944
282.1,25.8,  58.432
311.02,-83.7,   0.945
258.24,9.64,  54.432
335.28,20.3,   6.656
236.31,-33.7,  22.976
247.38,-5.69,  37.248
322.2,26.7,   6.400
341.73,15.63,
236.92,-30.81,
9.55,-72.15,   0.617
11.38,-39.31,  34.176
335.76,-83.17,  15.552
232.3,-51.92,   0.056
235.35,-35.46,
279.27,-83.93,
251.51,1.96, 120.640
246.8,-5.65,  36.096
231.7,-58.82,   0.832
252.33,3.55,  14.208
10.16,-73.49,   6.976
240.46,-18.57,   3.776
326.43,25.91,   4.135
9.61,-74.25,
320.27,28.21,
234.6,-35.69,  25.664
350.53,7.85,
7.37,-23.09,  40.000
349.88,8.73,  84.160
276.7,24.98,   0.128
230.91,-63.11,   1.792
253.88,-82.23,
313.04,30.18,   4.032
342.56,16.48,  44.928
309.48,31.03,
256.96,10.77,   0.894
16.25,-57.7,   1.024
13.62,-40.95,  20.480
0.64,-5.96,  97.344
2.03,-8.57,
251.89,4.76,
229.18,-60.79, 189.056
13.7,-40.66,   0.960
9.82,-27.09,   3.635
229.1,-59.37,  31.328
229.96,-50.1,
353.16,6.3,  25.920
239.62,-17,  43.456
233.13,-76.39,
17.29,-66.51,
273.2,24.55,   7.680
238.49,-19.29,  21.440
254.97,9.62,   5.440
3.75,-82.13,
247.19,-1.26,   2.048
17.93,-66.69,   0.048
15.9,-46.38,  11.904
237.75,-19.94,  21.952
232.15,-36.34,  29.184
281.36,28.76,  35.776
233.56,-31.59,  44.800
3.24,-83.24,  41.728
10.52,-25.73,   7.232
353.88,6.79,   0.136
240.72,-12.05,
228.23,-50.26,  23.040
309.64,32.55,   0.218
312.3,32.22,
289.91,31.63,  15.680
226.11,-65.47,   0.581
308.98,32.67,
11.12,-26.26,  88.448
232.54,-32.24,  48.832
326.07,28.92,  36.480
317.09,31.64,  12.160
275.43,27.13,
308.57,33.02,  13.088
253.01,9.11,
287.29,31.43,  31.584
19.33,-54.77,
226.2,-76.02,
242.86,-6.35,   0.974
18.87,-50.87, 148.480
10.48,-83.81,   1.984
17.81,-45.8, 185.856
359.39,0.38,  90.944
237.24,-17.9,   0.064
299.7,33.57,  10.048
14.27,-33.05,
7.58,-15.16, 294.784
246.51,0.73,
223.72,-69.41,  26.912
12.13,-25.82,   3.200
3.61,-6.25, 116.544
224.61,-57.65,  26.688
310.16,33.78,
359.28,1.65,
23.12,-65.62,
6.64,-11.6,  62.784
351.24,12.66,
222.07,-71.09, 137.344
222.16,-68.75,   9.664
22.59,-60.74,
239.85,-9.89,
316.98,33.07,  58.048
314.89,33.53,   1.856
254.22,12.67,  20.800
302.41,34.67,  30.944
355.04,8.58,   9.120
24.56,-79.13,
220.89,-72.53,   7.360
225.16,-50.53,
270.47,26.56,   5.056
220.01,-71.64,
274.48,28.7,   1.600
313.81,34.2,
221.55,-62.82,  28.480
14.21,-27.86,   8.640
2.87,-2.17,
265.87,24.15,   0.116
316.43,34.15,  40.512
19.31,-41.45,   4.544
261.11,20.77,  21.312
17.32,-35.13,
26.62,-88.84,  13.920
12.05,-20.65,
342.5,22.65,   4.544
2.46,-0.52,  62.528
19.62,-41.39,  31.360
322.76,32.91,
36.25,-87.68,  88.384
292.14,35.09,
18.72,-38,   3.840
331.12,29.91,   0.392
213.22,-81.67,  57.888
329.55,30.92,   7.616
342.77,23.36,  42.752
240.55,-4.41,   2.624
209.89,-82.39,   0.896
24.95,-54.86,   1.918
356.2,10.19,   4.096
324.18,33.31,
218.75,-60.96,  49.408
287.66,34.99, 130.048
290.11,35.56,  42.752
353.55,13.71,   0.128
224.33,-42.88,  20.224
257.85,19.87,   3.200
236.69,-10.56,  49.344
329.82,31.88,   1.112
245.4,5.36,   0.256
317.91,35.65,  26.048
352.21,15.99,
206.58,-79.94,
251.72,13.98,   1.408
334.73,29.92,   9.280
272.14,30.46,  33.056
240.56,-1.88,   0.315
353.32,15.28,   0.896
238.82,-4.95,   8.704
226.35,-33.7,   0.384
215.58,-62.14,   1.152
341.73,26.12,   0.792
8.63,-7.31,
251.26,14.59,
40.09,-76.9,  80.640
217.34,-56.64,  56.000
248.41,11.28,  40.320
43.31,-79.05,
217.46,-55.89,
37.56,-73.35,   6.464
8.94,-7.15, 147.456
140.33,-87.2, 119.616
4.23,1.78,   1.664
210.45,-69.16,   8.448
243.04,4.17,   0.183
358.27,10.75,   0.804
212.78,-64.92,
262.01,25.4,
24.29,-43.64,   0.249
256.2,20.68,  21.120
329.84,33.56,  13.888
22.1,-37.26,   5.952
330.96,33.22,   0.154
319.19,37.04,   3.904
214.45,-60.1,  43.264
337.07,30.23,   0.116
228.3,-25.08, 204.416
359.87,9.15,
116.83,-86.82, 119.872
239.74,-0.54,
249.3,13.63,   8.384
268,29.92,
1.71,6.81,
226.38,-29.2,   2.267
221.39,-42.08,
228.32,-24.08,
203.38,-74.35,  36.320
17.87,-24.38,   0.192
289.38,38.19,  65.600
290.86,38.46,  15.680
43.96,-75.22,   4.352
27.6,-48.42,
26.05,-44.39,   0.416
318.61,38, 137.088
217.29,-50.32,  28.352
322.11,37.24,
33.06,-59.81,  70.080
356.7,14.82,  16.128
273.23,33.67,   1.079
54.62,-79.71,
83.34,-84.5,   4.032
279.49,36.3,  20.096
229,-19.94,  90.176
214.63,-53.86,  25.408
3.93,6.03,   9.600
257.85,24.75,   2.432
266.79,31.16, 120.000
222.53,-34.18,  30.976
175.99,-82.17,  22.528
239.98,3.36,  21.920
10.52,-4.7,  32.384
25.53,-38.78,   3.136
29.03,-46.92, 150.784
20.85,-27.15,   7.232
320.32,38.98,   0.312
30.9,-50.81,  79.168
192.39,-76.87,  11.328
338.66,31.87,   1.088
5.18,5.19,   1.483
331.44,35.53,   3.392
230.43,-14.03,   8.768
99.5,-84.13,   0.128
209.78,-59.92,
319.46,39.41, 115.456
219.57,-39.24,  32.192
237.74,0.67,  16.896
219.8,-38.3,  20.992
240.2,5.41, 114.368
6.5,4.08,   0.200
227.37,-19.62,
302.78,41.7,  51.680
251.53,20.45,   9.984
305.69,41.67,
9.11,-0.17,  26.496
215.2,-47.67,
236.11,-1.31, 274.880
205.35,-64.04,   0.960
24.82,-33.71,
343.38,30.13,  29.696
28.54,-42.17,
272.76,35.9,  19.200
350.75,24.44,   1.824
28.46,-41.76,
89.67,-82.52,  19.072
214.29,-48.41, 318.592
291.39,41.24,
230.97,-10.47,
12.8,-6.16, 275.712
273.47,36.44,   4.224
245.34,14.03,  17.408
184.99,-77.08,  70.016
358.93,16.28,   0.024
233,-5.6,  64.064
235.09,-1.63,  23.744
0.5,14.46, 136.192
42.22,-63.17,
355.76,20.75,  61.376
47.31,-67.54,
133.72,-82.32,
219.85,-32.25,  98.176
210.95,-50.6,  26.944
20.34,-19.03,  18.240
343.91,31.73,
210.67,-50.79,   1.011
53.55,-71.11,
14.4,-6.09, 172.736
17.76,-13,
246.38,17.68,   0.224
254.51,26.25,  22.592
231.5,-5.79,   5.440
46.74,-65.61,  32.832
229.26,-10.17,   0.448
325.45,40.68,  77.376
23.25,-24.6,  82.880
14.1,-4.87,   2.776
221.3,-27.34,   0.576
256.48,28.35,
11.05,1.22, 134.656
51.57,-68.74,
347.63,29.9,   1.728
10.32,2.65,
355.17,23.27,  29.888
31.36,-41.38,  19.264
244.59,16.37,
13.36,-2.61,   0.250
321.72,42.19,  50.432
353.94,24.81,
286.22,42.76,  12.736
17.47,-10.29,   3.072
311.77,44.12,   1.511
222.14,-23.66,  21.632
255.42,28.29,  27.584
141.19,-80.68,
317.31,43.44,   0.192
14.22,-3.41,  60.480
10.28,3.85,  18.432
262.02,33.41,  22.912
212.46,-43.77,  28.864
84.09,-78.39,   2.668
316.93,43.85,  10.432
261.73,33.5,  39.680
215.14,-37.71,   0.272
19.89,-14.11,   1.664
253.62,27.35,   4.224
318.86,43.61,  39.936
190.37,-69.15,
44.77,-60.09,  20.224
213.32,-40.94,   4.864
78.52,-77.15,  23.040
227.59,-10.32,  13.184
309.93,45.06,
327.7,41.69,  45.312
357.5,22.76,   0.636
78.7,-76.86,
280.19,42.44,  29.312
239.1,11.21,  51.104
310.59,45.31,  70.912
59.19,-70.01,   6.464
338.59,37.68,
243.48,17.75,
227.41,-8.4,  53.984
312.5,45.75,  22.976
32.6,-38.11,
243.69,18.69,   3.456
6.48,12.97,  22.400
190.81,-66.4,   2.197
318.28,45.06,  12.672
251.04,26.96,
325.68,43.46,   0.183
324.27,43.85,  50.944
146.49,-78.36,   0.192
9.57,8.48,   1.177
206.71,-48.92, 200.704
230.66,-0.91,
32.39,-36.5,   0.120
36.38,-43.75,
230.31,-1.24,   1.359
215.58,-31.86,   0.192
211.46,-39.8,  25.088
42.61,-53,
329.72,42.74,  10.496
51.38,-62.3,   2.944
193.72,-62.93,   0.258
233.24,4.51,  15.040
219.76,-22.09,   3.392
27.44,-24.94,  40.416
40.06,-48.63, 108.992
42.93,-52.68,  35.584
216.87,-28.11, 381.248
44.12,-54.12,
344.02,36.52,  60.992
190.25,-64.95,
239.64,15.15,  33.088
312.28,46.96,  15.296
230.82,0.96,   4.032
302.46,47.5,
13.36,4.29,   4.544
208.01,-44.21,   1.184
342.23,37.96,  45.248
241.3,18.13,   9.792
33.07,-34.95,
271.72,42.09,
86.78,-75.24,  59.392
223.84,-11.44,
253.05,31.23,   7.232
238.8,15.55,
30.32,-28.17,  64.288
263.82,38.93,   0.336
225.04,-8.22,
2.81,21.37,   0.320
228.77,-0.86,   6.115
211.51,-35.91,  31.840
177.17,-69.83,   0.642
262.84,38.58,  33.984
263.68,39.07,
283.37,46.44,
187.03,-64.79,
342.68,38.85,
